Timestamp,Username,What is your current position?,In what kind of research institute do you work?,"Which of these software do you use for your Quant Analysis.  [PeptideAtlas (StPeter, Libra, XPress)]",Which of these software do you use for your Quant Analysis.  [OpenMS],Which of these software do you use for your Quant Analysis.  [Other],Which of these software do you use for your Quant Analysis.  [MSnBase (PMID:22113085)],Which of these software do you use for your Quant Analysis.  [moFF],Which of these software do you use for your Quant Analysis.  [FlashLFQ (PMID:29083185)],Which of these software do you use for your Quant Analysis.  [diffacto],Which of these software do you use for your Quant Analysis.  [Skyline],Which of these software do you use for your Quant Analysis.  [Proline (http://www.profiproteomics.fr)],Which of these software do you use for your Quant Analysis.  [MaxQuant],Which of these software do you use for your Quant Analysis.  [Philosopher (Alexey Lab)],Which of these software do you use for your Quant Analysis.  [Patterlab (PMID:26658470)],Which of these software do you use for your Quant Analysis.  [EncyclopeDIA (PMID: 30510204)],Which of these software do you use for your Quant Analysis.  [Census],Which of these software do you use for your Quant Analysis.  [HIQuant (PMID:30282776)],Which commercial software do you use for your Quant Analysis.  [Scaffold],Which commercial software do you use for your Quant Analysis.  [Peak View ],Which commercial software do you use for your Quant Analysis.  [Spectronaut],Which commercial software do you use for your Quant Analysis.  [Progenesis],Which commercial software do you use for your Quant Analysis.  [Mascot ],Which commercial software do you use for your Quant Analysis.  [Proteome Discover],Which commercial software do you use for your Quant Analysis.  [Other],Which commercial software do you use for your Quant Analysis.  [Peaks],If you use other software please add a reference here and a the URL of the tool. You can add also comments.,Which are the features that make you to chose the following software for your data analysis [moFF],Which are the features that make you to chose the following software for your data analysis [EncyclopeDIA (PMID: 30510204)],Which are the features that make you to chose the following software for your data analysis [FlashLFQ (PMID:29083185)],Which are the features that make you to chose the following software for your data analysis [Skyline],"Which are the features that make you to chose the following software for your data analysis [PeptideAtlas (StPeter, Libra, XPress)]",Which are the features that make you to chose the following software for your data analysis [MSnBase (PMID:22113085)],Which are the features that make you to chose the following software for your data analysis [Other],Which are the features that make you to chose the following software for your data analysis [Philosopher (Alexey Lab)],Which are the features that make you to chose the following software for your data analysis [OpenMS],Which are the features that make you to chose the following software for your data analysis [Patterlab (PMID:26658470)],Which are the features that make you to chose the following software for your data analysis [diffacto],Which are the features that make you to chose the following software for your data analysis [Proline (http://www.profiproteomics.fr)],Which are the features that make you to chose the following software for your data analysis [Census],Which are the features that make you to chose the following software for your data analysis [MaxQuant],Which are the features that make you to chose the following software for your data analysis [HIQuant (PMID:30282776)],"Which packages do you use for downstream analysis: normalisation, Batch effect corrections.  ",If you use another packages for downstream analysis can you add them here: URL/Citation.,Which Search engine free do you use,Search engine and type of analysis  [Tide],Search engine and type of analysis  [Sequest],Search engine and type of analysis  [MetaMorpheus],Search engine and type of analysis  [MSGF+],Search engine and type of analysis  [Andromeda],Search engine and type of analysis  [Comet],Search engine and type of analysis  [MSPepSearch],Search engine and type of analysis  [MSFragger],Search engine and type of analysis  [SpectraST ],Search engine and type of analysis  [OMSSA],Search engine and type of analysis  [X!Tandem],Search engine and type of analysis  [MSAmanda],Search engine and type of analysis  [Mascot],"Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [Label-Free Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Differential expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [TMT Base line expression experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [SRM/MR expression Experiments]","Which type of Protein quant data you would like to see more in proteomics resources. (e.g. PeptideAtlas, ProteomicsDB, etc) [DIA/SWATH expression experiments]",In case you would like to see something else more represented in Proteomics resources let us know. ,
2019/02/13 2:37:14 PM GMT,user140,Research Scientist - Staff,"Company, Start-up, Pharma",,,,,,,,Other Quant analysis,,TMT analysis;Label Free Spectral Count Analysis,,,,,,,,,,,TMT analysis;Label Free Spectral Count Analysis,,,,,,,Quality of the Results;Documentation and Support;Maturity (No much errors);Open Source;Free,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Flexibility to develop pipelines;Compatibility with other softwares;Open Source;Free,,Perseus,,Andromeda;MSAmanda;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,,,,,,Phospho proteomics analysis,,,Dataset oriented view,Meta-analysis view (multiple datasets combined),,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,
2019/02/13 2:42:38 PM GMT,user141,Research Scientist - Staff,University,,,,,,Label Free Analysis MS1,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,Easy to use;Desktop Application;Quality of the Results;Documentation and Support;Maturity (No much errors);Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,,,,Support for multiple Quant methods;Desktop Application;Quality of the Results;Maturity (No much errors);Free;Internal benchmark with other tools suggest better/similar results,,Perseus,,Andromeda;MSFragger;MetaMorpheus,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,,,,,,,
2019/02/13 3:00:20 PM GMT,user142,Post-Doc,University,,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,Label Free Analysis MS1;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,Label Free Analysis MS1,,,,,,,,,Desktop Application;Documentation and Support,,,,,,,,,,Desktop Application;Quality of the Results,,"MSstats;In house pipeline.;Limma;MSQRob, SafeQuant, Prostar, ",https://github.com/statOmics/MSqRob; https://github.com/eahrne/SafeQuant; http://www.prostar-proteomics.org,X!Tandem;Comet;MSAmanda;Sequest,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,Dataset oriented view;Meta-analysis view (multiple datasets combined),,"iTRAQ experiments, MRM/SRM ",
2019/02/13 4:08:35 PM GMT,user143,Phd Student,"Hospital, Research Hospital",,TMT analysis;SILAC analysis;Other Quant analysis,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Other Quant analysis,,,,,,,,,,,,,,,,,,,,,,,Support for multiple Quant methods;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Open Source;Free,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Maturity (No much errors);Free,,"Limma;Voom, Combat",,X!Tandem;MSGF+;Andromeda,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,,Normal Peptide/Protein identification,,,Dataset oriented view,,Dataset oriented view,,,Dataset oriented view,Mass spectrometry imaging datasets,
2019/02/13 4:22:21 PM GMT,user144,Principal Investigator;Professor,University,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Documentation and Support;Compatibility with other softwares;Open Source;Free,,,,,,,,,,,,,In house pipeline.;PAW pipeline (https://t.co/BtiFHAAKU7),,MSGF+,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,Dataset oriented view,,Dataset oriented view,,,,,
2019/02/13 4:48:10 PM GMT,user145,Phd Student,University,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,,,,,,Perseus,,MetaMorpheus,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,,,,,,,,,,,,,,,,
2019/02/13 4:50:35 PM GMT,user146,Phd Student,University,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,Easy to use;Desktop Application;Quality of the Results;Documentation and Support;Flexibility to develop pipelines;Compatibility with other softwares,,,,,,,,,,,,,Perseus,,MetaMorpheus,,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,,
2019/02/13 6:13:23 PM GMT,user147,Project Manager,"Company, Start-up, Pharma",,,,,,,,SILAC analysis,,,,,,,,SILAC analysis,,Label Free Analysis MS1,Label Free Analysis MS1,SILAC analysis,,,,,,,,Easy to use;Support for multiple Quant methods,,,,,,,,,,,,MSstats,,Mascot;Ia ,,,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,Dataset oriented view,Dataset oriented view,Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),,
2019/02/14 1:03:16 AM GMT,user148,Phd Student;Research Scientist - Staff,"Company, Start-up, Pharma",,,,,,,,Label Free Analysis MS1;SWATH / DIA Quant,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,SWATH / DIA Quant,,,,Label Free Analysis MS1,Label Free Analysis MS1,,,,,,,Quality of the Results;Documentation and Support;Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Open Source;Free,,,,,,,,,,Open Source;Free,,In house pipeline.,,MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development;Protein Characterisation,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development;Protein Characterisation,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/14 8:23:01 AM GMT,user149,Phd Student,"Hospital, Research Hospital",,,,,,,,Label Free Analysis MS1,,Label Free Analysis MS1,,,,,,,,,Label Free Analysis MS1,,,,,,,,,Easy to use,,,,,,,,,,Easy to use,,Perseus,,Andromeda;MSAmanda;Mascot,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis,Normal Peptide/Protein identification;Phospho proteomics analysis,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,,
2019/02/14 9:23:38 AM GMT,user150,Phd Student,University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy to use;Quality of the Results;Open Source,,,,,,,,,Comet;MSGF+;Sequest,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,,,Dataset oriented view,,,,,,,
2019/02/14 9:26:45 AM GMT,user151,Post-Doc,University,,,Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support,,,,,,,,,Perseus;IPA ,,Mascot,,,,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/14 9:43:22 AM GMT,user152,Post-Doc,Core Facility,,SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant,,,,,,,,SILAC analysis,,,,,,,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Easy to run in HPC / Cloud enviroments;Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Open Source;Free,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Maturity (No much errors);Free,,MSstats,,X!Tandem;MSGF+;Andromeda;SpectraST,,,,Normal Peptide/Protein identification,,,,,,,Normal Peptide/Protein identification,,,,,,,,,,
2019/02/14 10:50:48 AM GMT,user153,Research Scientist - Staff;Project Manager,Core Facility,,SWATH / DIA Quant,,,,,,,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,,,,,,,,,,,,,,,,,,Documentation and Support;Compatibility with other softwares;Open Source;Free,,,,,Desktop Application,,MSstats;In house pipeline.,,,,,,,,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,,,
2019/02/14 12:24:16 PM GMT,user154,Principal Investigator,University,,Label Free Analysis MS1;SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,In house pipeline.,,X!Tandem;MSGF+,,,,,,,,,,,,,,Meta-analysis view (multiple datasets combined),,,,,Meta-analysis view (multiple datasets combined),,
2019/02/14 5:22:42 PM GMT,user155,Post-Doc;Developer - Bioinformatician;Research Scientist - Staff,Core Facility,,Label Free Analysis MS1,,,,,,Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,,,Other Quant analysis,,,,"plan to move completely to OpenMS from MaxQuant soon because of higher flexibility, now in the OpenMS implementation phase",,,,Easy to use;Desktop Application;Quality of the Results;Documentation and Support;Compatibility with other softwares;Free;Internal benchmark with other tools suggest better/similar results,,,,,Support for multiple Quant methods;Quality of the Results;Documentation and Support;Flexibility to develop pipelines;Compatibility with other softwares;Open Source;Free;Internal benchmark with other tools suggest better/similar results,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Free;Internal benchmark with other tools suggest better/similar results,,In house pipeline.;Limma,,X!Tandem;MSGF+;Andromeda;Mascot,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,,,,,,
2019/02/14 9:38:20 PM GMT,user156,Consultant,"Company, Start-up, Pharma",,SILAC analysis;Other Quant analysis,Phospho Quant analysis,,,,,SWATH / DIA Quant,,TMT analysis,,,,,,TMT analysis;SILAC analysis;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Documentation and Support;Maturity (No much errors);Open Source,,,,,Easy to use;Quality of the Results;Flexibility to develop pipelines;Open Source,,,,,Support for multiple Quant methods;Quality of the Results;Maturity (No much errors);Open Source,,MSstats;edgeR,,X!Tandem;Comet;OMSSA;Mascot;Sequest,,Normal Peptide/Protein identification,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development;Protein Characterisation,,,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,Normal Peptide/Protein identification;Protein Characterisation,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/15 3:42:34 PM GMT,user157,Research Scientist - Staff,"Company, Start-up, Pharma",,,,,,,,,,,,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,,,In house pipeline.,,MSAmanda;Sequest,,Normal Peptide/Protein identification;Analytical/Bioinformatics methods development;Protein Characterisation,,,,,,,,,,Normal Peptide/Protein identification;Protein Characterisation,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,
2019/02/16 11:05:27 PM GMT,user158,Consultant,"Company, Start-up, Pharma",,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,,SWATH / DIA Quant,,,TMT analysis;Label Free Analysis MS1;Other Quant analysis,,,,,,,,,,,,,,,,,Easy to use;Quality of the Results;Free,,In house pipeline.;Perseus,,Andromeda;Mascot;Sequest;MetaMorpheus,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,,,,,,Normal Peptide/Protein identification,Meta-analysis view (multiple datasets combined),,Meta-analysis view (multiple datasets combined),,,Meta-analysis view (multiple datasets combined),,
2019/02/18 1:46:12 PM GMT,user159,Phd Student,University,,Label Free Analysis MS1,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,,,Support for multiple Quant methods;Flexibility to develop pipelines;Compatibility with other softwares;Open Source;Free,,,,,Easy to use;Quality of the Results;Documentation and Support;Free,,In house pipeline.;Limma;NormalyzerDE ,https://pubs.acs.org/doi/10.1021/acs.jproteome.8b00523,X!Tandem;MSGF+,,,,Normal Peptide/Protein identification,,,,,,,Normal Peptide/Protein identification,,,,,,,,,,
2019/02/18 3:58:49 PM GMT,user160,Research Scientist - Staff,University,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,TMT analysis;SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Free,,In house pipeline.,,Andromeda;Mascot;Sequest,,Normal Peptide/Protein identification;Protein Characterisation,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,,
2019/02/19 11:37:51 AM GMT,user161,Phd Student,University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/02/19 10:45:08 PM GMT,user162,Developer - Bioinformatician,Research Institute,,,,,,,,Other Quant analysis,,,,,SWATH / DIA Quant;Phospho Quant analysis,,,Label Free Spectral Count Analysis,,,,,,,,,,Desktop Application;Quality of the Results;Free,,Desktop Application;Quality of the Results;Maturity (No much errors);Free,,,,,,,,,,,,edgeR,,X!Tandem;Comet;MSGF+,,,,Normal Peptide/Protein identification,,Normal Peptide/Protein identification;Phospho proteomics analysis;ProteoGenomics,,,,,Normal Peptide/Protein identification,,,,,,,,,,
2019/02/20 7:59:55 AM GMT,user163,Post-Doc,University,,,,,,,,,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,,,SWATH / DIA Quant,,,,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Quality of the Results;Free,,In house pipeline.;Limma,,Andromeda,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/20 5:41:53 PM GMT,user164,Post-Doc,University,,,,,,,,SWATH / DIA Quant;Other Quant analysis,,,,,,,,,,SWATH / DIA Quant,,TMT analysis;SILAC analysis;Label Free Analysis MS1,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Flexibility to develop pipelines;Compatibility with other softwares;Maturity (No much errors);Open Source;Free,,,,,,,,,,,,Limma,,X!Tandem;MSAmanda;Mascot;Sequest,,Normal Peptide/Protein identification,,,,,,,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification;Phospho proteomics analysis,Dataset oriented view,,Dataset oriented view,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,,
2019/02/20 10:53:38 PM GMT,user165,Principal Investigator,University,,,,,,Label Free Analysis MS1,,Label Free Analysis MS1;Other Quant analysis,,SILAC analysis;Label Free Analysis MS1,,,,,,Label Free Spectral Count Analysis,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Label Free Spectral Count Analysis,,,,,,Easy to use;Desktop Application;Quality of the Results;Documentation and Support,Desktop Application;Documentation and Support,,,,,,,,,,Quality of the Results,,In house pipeline.;Perseus,,Mascot;MetaMorpheus;Byonic,,,Normal Peptide/Protein identification;Protein Characterisation,,,,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development;Protein Characterisation,Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view,Dataset oriented view,Dataset oriented view,,,
2019/02/21 3:38:45 AM GMT,user166,Post-Doc,Research Institute,,,,,,,,SWATH / DIA Quant,,TMT analysis;SILAC analysis;Label Free Analysis MS1;Phospho Quant analysis;Other Quant analysis,,,,,,,,,,,TMT analysis;SILAC analysis,,,,,,,Easy to use;Quality of the Results;Compatibility with other softwares,,,,,Flexibility to develop pipelines;Open Source,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Maturity (No much errors),,In house pipeline.;Perseus,,MSGF+;Andromeda;MSFragger,,,,ProteoGenomics,Normal Peptide/Protein identification;Phospho proteomics analysis,,,Phospho proteomics analysis;ProteoGenomics,,,,,,Dataset oriented view,Meta-analysis view (multiple datasets combined),Dataset oriented view,Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),Meta-analysis view (multiple datasets combined),,
2019/02/21 8:03:51 AM GMT,user167,Post-Doc,University,SWATH / DIA Quant,Other Quant analysis;Label Free Spectral Count Analysis,Label Free Analysis MS1;SWATH / DIA Quant;Other Quant analysis;Label Free Spectral Count Analysis,,,,,Label Free Analysis MS1;SWATH / DIA Quant;Other Quant analysis,,SILAC analysis;Label Free Analysis MS1;SWATH / DIA Quant;Phospho Quant analysis;Other Quant analysis;Label Free Spectral Count Analysis,,,,,,,,,,,,Label Free Analysis MS1;Label Free Spectral Count Analysis,,https://www.nature.com/articles/nbt.4236,,,,Support for multiple Quant methods;Desktop Application;Documentation and Support;Free,,,,,Open Source;Free,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Maturity (No much errors);Free,,MSstats;In house pipeline.;https://www.ncbi.nlm.nih.gov/pubmed/30277078,https://www.ncbi.nlm.nih.gov/pubmed/30277078,X!Tandem;Comet;MSFragger,,,,,Phospho proteomics analysis,Normal Peptide/Protein identification,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/21 10:38:29 PM GMT,user168,CTO,"Company, Start-up, Pharma",,,,,,,,,,Label Free Spectral Count Analysis,,,,,,,,SWATH / DIA Quant;Phospho Quant analysis,,,,,,"SpectroMine https://biognosys.com/shop/spectromine, SpectroDive https://biognosys.com/shop/spectrodive",,,,,,,,,,,,,,Quality of the Results,,In house pipeline.,,Andromeda;Pulsar (SpectroMine),,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Analytical/Bioinformatics methods development,,,,,,,,,,,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),,
2019/02/22 4:36:21 AM GMT,user169,Post-Doc,"Hospital, Research Hospital",,,,,,,,,,TMT analysis;SILAC analysis,,,,,,,,,,,TMT analysis;SILAC analysis,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods,,Limma;Perseus,,X!Tandem;Andromeda;MSAmanda;Mascot,,Normal Peptide/Protein identification,,,Normal Peptide/Protein identification,,,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,,
2019/02/22 2:56:03 PM GMT,user170,Principal Investigator,University,,,,,,,,Other Quant analysis;Label Free Spectral Count Analysis,,Label Free Spectral Count Analysis,,,,,,,,,,Label Free Spectral Count Analysis,Label Free Spectral Count Analysis,,Label Free Spectral Count Analysis,,,,,Support for multiple Quant methods;Documentation and Support;Compatibility with other softwares;Free,,,,,,,,,,Support for multiple Quant methods;Compatibility with other softwares;Free,,Perseus,,Andromeda;Mascot,,,,,Normal Peptide/Protein identification,,,,,,,,Normal Peptide/Protein identification,Meta-analysis view (multiple datasets combined),,,,,Meta-analysis view (multiple datasets combined),,
2019/02/22 6:02:19 PM GMT,user171,Phd Student,University,,,,,,SILAC analysis;Label Free Analysis MS1,,,,,,,,,,,,,,,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Documentation and Support;Compatibility with other softwares;Free;Internal benchmark with other tools suggest better/similar results,,,,,,,,,,,,,Perseus,,Andromeda;MetaMorpheus,,,Normal Peptide/Protein identification;Phospho proteomics analysis,,Normal Peptide/Protein identification,,,,,,,,,,,,,,,,
2019/02/22 6:47:17 PM GMT,user172,Research Scientist - Staff,Research Institute,,,,,,,,,,Label Free Analysis MS1,,Label Free Analysis MS1,,,,,,,,,Label Free Analysis MS1,,,,,,,,,,,,,Easy to use;Quality of the Results;Free,,,,Quality of the Results;Maturity (No much errors),,Perseus,,Comet;Andromeda;Mascot,,,,,Normal Peptide/Protein identification,Normal Peptide/Protein identification,,,,,,,Normal Peptide/Protein identification,,,,,,,,
2019/02/22 7:00:32 PM GMT,user173,Lab Manager,University,,,SILAC analysis,,,,,Other Quant analysis,,TMT analysis;Label Free Analysis MS1;Phospho Quant analysis,,,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,TMT analysis;SILAC analysis;Label Free Analysis MS1,TMT analysis;SILAC analysis;Label Free Analysis MS1,,,,,,,Easy to use;Support for multiple Quant methods;Desktop Application;Quality of the Results;Free,,,,,,,,,,Support for multiple Quant methods;Desktop Application;Quality of the Results;Free,,Perseus,,Andromeda;Mascot,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,,,,,,,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,Normal Peptide/Protein identification;Phospho proteomics analysis;Protein Characterisation,Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),Dataset oriented view;Meta-analysis view (multiple datasets combined),,,
